array_length,n_threads,insertion_sort_threshold,elapsed_time
1000000,8,0,1.073131
1000000,8,10,0.294243
1000000,8,30,0.112364
1000000,8,50,0.074930
1000000,8,80,0.053441
1000000,8,100,0.048555
1000000,8,1000,0.115653
10000000,1,0,2.879490
10000000,1,10,1.731439
10000000,1,30,1.511540
10000000,1,50,1.477642
10000000,1,80,1.532131
10000000,1,100,1.551480
10000000,1,1000,4.318958
10000000,2,0,4.937470
10000000,2,10,1.967318
10000000,2,30,1.167581
10000000,2,50,0.979369
10000000,2,80,0.970412
10000000,2,100,0.921170
10000000,2,1000,2.511396
10000000,3,0,4.389183
10000000,3,10,1.717251
10000000,3,30,0.984604
10000000,3,50,0.797939
10000000,3,80,0.728899
10000000,3,100,0.711896
10000000,3,1000,1.742558
10000000,4,0,5.828140
10000000,4,10,1.924401
10000000,4,30,0.982807
10000000,4,50,0.742874
10000000,4,80,0.633237
10000000,4,100,0.619520
10000000,4,1000,1.565788
10000000,5,0,7.704915
10000000,5,10,2.285708
10000000,5,30,1.024880
10000000,5,50,0.747628
10000000,5,80,0.609710
10000000,5,100,0.578631
10000000,5,1000,1.491814
10000000,6,0,9.618208
10000000,6,10,2.828202
10000000,6,30,1.097104
10000000,6,50,0.762779
10000000,6,80,0.597530
10000000,6,100,0.567550
10000000,6,1000,1.331653
10000000,7,0,10.688413
10000000,7,10,2.979583
10000000,7,30,1.170429
10000000,7,50,0.782902
10000000,7,80,0.578068
10000000,7,100,0.536603
10000000,7,1000,1.316119
10000000,8,0,11.348187
10000000,8,10,3.195730
10000000,8,30,1.194541
10000000,8,50,0.823738
10000000,8,80,0.569655
10000000,8,100,0.520714
10000000,8,1000,1.285112
100000000,1,0,31.999682
100000000,1,10,19.877272
100000000,1,30,17.516339
100000000,1,50,17.259816
100000000,1,80,17.584097
100000000,1,100,17.992297
100000000,1,1000,45.513621
100000000,2,0,57.029145
100000000,2,10,22.097139
100000000,2,30,13.376212
100000000,2,50,11.428202
100000000,2,80,10.845389
100000000,2,100,10.792884
100000000,2,1000,26.249968
100000000,3,0,55.607458
100000000,3,10,19.313628
100000000,3,30,11.285380
100000000,3,50,9.226182
100000000,3,80,8.320129
100000000,3,100,8.357835
100000000,3,1000,19.743527
100000000,4,0,64.299033
100000000,4,10,21.486998
100000000,4,30,10.983003
100000000,4,50,8.446459
100000000,4,80,7.173921
100000000,4,100,6.972258
100000000,4,1000,16.514498
100000000,5,0,83.680432
100000000,5,10,25.800402
100000000,5,30,11.384956
100000000,5,50,8.356366
100000000,5,80,6.941277
100000000,5,100,6.512266
100000000,5,1000,15.236142
100000000,6,0,103.891488
100000000,6,10,29.721252
100000000,6,30,12.263621
100000000,6,50,8.636430
100000000,6,80,6.925583
100000000,6,100,6.381193
100000000,6,1000,14.426025
100000000,7,0,116.628496
100000000,7,10,32.956381
100000000,7,30,13.190589
100000000,7,50,8.829174
100000000,7,80,6.536442
100000000,7,100,6.053132
100000000,7,1000,13.841059
100000000,8,0,130.436827
100000000,8,10,34.667724
100000000,8,30,13.927066
100000000,8,50,9.062050
100000000,8,80,6.527744
100000000,8,100,5.803111
100000000,8,1000,13.576165
1000000000,1,0,340.795879
1000000000,1,10,221.399106
1000000000,1,30,196.303295
1000000000,1,50,208.975258
1000000000,1,80,196.692480
1000000000,1,100,199.497206
1000000000,1,1000,473.808479
1000000000,2,0,581.332182
1000000000,2,10,236.181556
1000000000,2,30,146.717775
1000000000,2,50,126.619396
1000000000,2,80,120.645347
1000000000,2,100,118.835650
1000000000,2,1000,271.943984
1000000000,3,0,536.530257
1000000000,3,10,209.377175
1000000000,3,30,124.614674
1000000000,3,50,103.514830
1000000000,3,80,94.297691
1000000000,3,100,92.377912
1000000000,3,1000,204.996967
1000000000,4,0,707.307890
1000000000,4,10,236.342358
1000000000,4,30,120.107373
1000000000,4,50,94.711997
1000000000,4,80,80.410090
1000000000,4,100,77.741809
1000000000,4,1000,171.670854
1000000000,5,0,920.266355
1000000000,5,10,271.584422
1000000000,5,30,126.772313
1000000000,5,50,91.240088
1000000000,5,80,77.317579
1000000000,5,100,72.091949
1000000000,5,1000,158.135687
1000000000,6,0,1166.580273
1000000000,6,10,311.958603
1000000000,6,30,135.899507
1000000000,6,50,93.935096
1000000000,6,80,74.163888
1000000000,6,100,69.199258
1000000000,6,1000,150.485652
1000000000,7,0,1279.802920
1000000000,7,10,358.755751
1000000000,7,30,139.314022
1000000000,7,50,93.997008
1000000000,7,80,71.254820
1000000000,7,100,65.483231
1000000000,7,1000,147.517415
1000000000,8,0,1316.039855
1000000000,8,10,356.330605
1000000000,8,30,141.022798
1000000000,8,50,91.661567
1000000000,8,80,70.489072
1000000000,8,100,65.149790
1000000000,8,1000,138.746423
